firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo
Ирина Юрьевна,Карамушкина,,,,-
Галина Анатольевна,Скрипкина,,,,-
Каныбек,Осмоналиев,,,,-
Курманбек Сапарович,Дыйканбаев,В командировке,г.Баку,15-16.04.2015г.,-
Жылдызкан Айтибаевна,Джолдошева,В командировке,Республика Корея,15-16.04.2015г.,-
Сайдулла Канболотович,Нышанов,,,,-
Бөдөш Аманбаевна,Мамырова,В командировке,Китайская Народная Республика,15-16.04.2015г.,-
Улукбек Тойчубаевич,Кочкоров,,,,-
Мирлан Исакбекович,Бакиров,В командировке,Республика Тайвань,15-16.04.2015г.,-
Ташполот,Балтабаев,По состоянию здоровья,,15-16.04.2015г.,-
Элмурат Авдувапович,Обдунов,,,,-
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,15-16.04.2015г.,-
Карганбек Садыкович,Самаков,В командировке,г.С-Петербург,16.04.2015г.,-
Олег Леонидович,Домшенко,,,,-
Курманбек Эргешович,Осмонов,,,,-
Дастан Далабайевич,Бекешев,,,,-
Нуржан Нуралиевна,Бадыкеева,,,,-
Максат Эсенович,Сабиров,,,,-
Абдыжапар Гапырович,Бекматов,,,,-
Каныбек Капашович,Иманалиев,,,,Ф.Кулову
Роза Корчубековна,Акназарова,,,,М.Сабирову
Надира Азимовна,Нарматова,На Форуме женщин-депутатов,Баткенская обл.,16.04.2015г.,-
Айнуру Тойчиевна,Алтыбаева,,,,-
Майрамкул Бекчороевна,Тиленчиева,В командировке,Баткенская обл.,16.04.2015г.,М.Расулову
Акылбек Шакирович,Султанов,В командировке,Ошская обл.,16.04.2015г.,-
Элмурат Абдувапович,Обдунов,По состоянию здоровья,,08-09.04.2015г.,-
Болот Абыкеевич,Сулайманкулов,,,,М.Сабирову
Кантемир Зулумович,Мурзабеков,,,,Д.Джумабекову
Мамытбай Маткабылович,Салымбеков,,,,Ч.Турсунбекову
Турсунтай Аблизович,Салимов,,,,Э.Сакебаеву
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,08-09.04.2015г.,-
Мурадыл Ганыевич,Мадеминов,В командировке,г.Душанбе,01.04.2015г.,-
Максат Эсенович,Сабиров,На похоронах,,01.04.2015г.,-
Марат Абдыразакович,Султанов,В командировке,г.Ереван,01.04.2015г.,-
Эркингуль Бекбачаевна,Иманкожоева,В командировке,г.Анкара,01-02.04.2015г.,-
Жылдызкан Айтибаевна,Жолдошева,В командировке,г.Москва,01-02.04.2015г.,-
Элмурат Абдувапович,Обдунов,По состоянию здоровья,,01-02.04.2015г.,-
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,01-02.04.2015г.,-
Таалайбек Омукеевич,Ибраев,В командировке,г.Москва,02.04.2015г.,-
Алмазбек Баатырбекович,Баатырбеков,В командировке,Япония,18-19.03.2015г.,-
Туратбек,Мадылбеков,В командировке,г. Баку,18-19.03.2015г.,-
Абдимуталип Калдарбаевич,Кочкорбаев,В связи с семейными обстоятельствами,,18-19.03.2015г.,У.Кочкорову
Абдулатип Маматасанович,Режавалиев,По состоянию здоровья,,18-19.03.2015г.,-
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,18-19.03.2015г.,-
Жылдызкан Айтибаевна,Жолдошова,На похоронах,,19.03.2015г.,-
Мамытбай Маткабылович,Салымбеков,В командировке,Нарынская обл.,11.03.2015г.,Ч.Турсунбекову
Асия Айтбаевна,Сасыкбаева,В командировке,США,11-12.03.2015г.,-
Абдыжапар Гапырович,Бекматов,В командировке,Корея,11-12.03.2015г.,-
Хаджимурат Зулкарнаевич,Коркмазов,В командировке,г.С-Петербург,11-12.03.2015г.,-
Бахтияржан Сабирович,Кадыров,В командировке,г.Минск,11-12.03.2015г.,-
Алмазбек Баатырбекович,Баатырбеков,В командирвке,Япония,11-12.03.2015г.,-
Абдулатип Маматасанович,Режавалиев,По состоянию здоровья,,11-12.03.2015г.,-
Абдимиталип Калдарбаевич,Кочкорбаев,В связи с семейными обстоятельствами,,11-12.03.2015г.,Н.Айдарову
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,11-12.03.2015г.,-
Максат Эсенович,Сабиров,В командировке,г.С-Петербург,12.03.2015г.,-
Акуналы Атамурзаевич,Досалиев,В командировке,Жалал-Абадская   обл.,12.03.2015г.,-
Чолпон Аалыевна,Султанбекова,На встрече с избирателями,Баткенская обл.,04.03.2015г.,-
Акылбек Шакирович,Султанов,В командировке,Ошская обл.,04-05.03.2015г.,-
Бактыгул Арстанович,Маматов,В командировке,Ошская обл.,04-05.03.2015г.,-
Кенжебек Сатымкулович,Бокоев,По состоянию здоровья,,04-05.03.2015г.,Р.Акназаровой
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,04-05.03.2015г.,-
Айнуру Тойчиевна,Алтыбаева,На Форуме женщин-депутатов,г.Ош,05.03.2015г.,-
Эльмира Сансызбаевна,Иманалиева,По уважительной причине,,05.03.2015г.,-
Надира Азимовна,Нарматова,В командировке,,05.03.2015г.,-
Татьяна Владимировна,Левина,По состоянию здоровья,,05.03.2015г.,-
Уланбек Калдарович,Нуркулов,В командировке,Жалал-Абадская   обл.,25.02.2015г.,-
Акылбек Шакирович,Султанов,В командировке,Ошская обл.,25.02.2015г.,-
Ирина Юрьевна,Карамушкина,В командировке,г.Душанбе,25-26.02.2015г.,-
Равшан Бабырбекович,Жээнбеков,Иш сапарында,Турция,25-26.02.2015г.,-
Омурбек Мирзараимович,Бакиров,По состоянию здоровья,,25-26.02.2015г.,-
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,25-26.02.2015г.,-
Кенжебек Сатымкулович,Бокоев,По состоянию здоровья,,26.02.2015г.,М.Сабирову
Талантбек Макишович,Узакбаев,В командировке,Иссык-Кульская   обл.,26.02.2015г.,Э.Исакову
Роза Корчубековна,Акназарова,В командировке,Австрия,18-19.02.2015г.,Ч.Султанбековой
Анвар,Артыков,,,,Н.Мадалиеву
Талантбек Макишович,Узакбаев,По состоянию здоровья,,18-19.02.2015г.,К.Рыспаеву
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,18-19.02.2015г.,-
Уланбек Калдарович ,Нуркулов,В командировке,Жалал-Абадская   обл.,11-12.02.2015г.,Ө.Текебаеву
Карганбек Садыкович,Самаков,В командировке,Иссык-Кульская   обл.,11-12.02.2015г.,-
Асылбек Шарипович,Жээнбеков,По состоянию здоровья,,11-12.02.2015г.,-
Нарынбек,Молдобаев,,,,-
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,11-12.02.2015г.,-
Карганбек Садыкович,Самаков,В командировке,,04-05.02.2015г.,-
Карамат Бабашевна,Орозова,В командировке,Баткенская обл.,04-05.02.2015г.,Э.Сакебаеву
Равшан Бабырбекович,Жээнбеков,В командировке,США,04-05.02.2015г.,-
Омурбек,Абдырахманов,,,,-
Асылбек Шарипович,Жээнбеков,По состоянию здоровья,,04-05.02.2015г.,-
Джаныш Камчыбекович,Кудайбергенов,,,,-
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,04-05.02.2015г.,-
Данияр Омурзакович,Тербишалиев,На похоронах,,05.02.2015г.,-
Айнуру Тойчиевна,Алтыбаева,На женском форуме,"г.Жалал-Абад, г.Ош",28.01.2015г.,-
Абдыжапар Гапырович,Бекматов,На круглом столе,г.Ош,28.01.2015г.,А.Абдрахманову
Нурбек Каарыевич,Алимбеков,В командировке,Франция,28-29.01.2015г.,А.Эшимову
Асия Айтбаевна,Сасыкбаева,,,,-
Эльмира Сансызбаевна,Иманалиева,,,,-
Равшан Бабырбекович,Жээнбеков,В командировке,США,28-29.01.2015г.,-
Омурбек,Абдырахманов,,,,-
Ирина Юрьевна,Карамушкина,В командировке,Таиланд,28-29.01.2015г.,-
Надира Азимовна,Нарматова,В командировке,,28-29.01.2015г.,-
Токтогул Туманович,Туманов,По состоянию здоровья,,28-29.01.2015г.,М.Мадеминову
Жоомарт Рахатович,Сапарбаев,,,,Б.Калмаматову
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,28-29.01.2015г.,-
Нуркамил Апишевич,Мадалиев,В командировке,Нарынская обл.,21.01.2015г.,А.Артыкову
Нариман Ташболотович,Тюлеев,По уважительной причине,,21.01.2015г.,-
Чолпон Аалыевна,Султанбекова,В командировке,Корея,21-22.01.2015г.,-
Курманбек Сапарович,Дыйканбаев,,,,-
Акылбек Шакирович,Султанов,,,,-
Наталья Владимировна,Никитенко,В командировке,Швейцария,21-22.01.2015г.,А.Сасыкбаевой
Эристина Азрет-Алиевна,Кочкарова,,,,-
Торобай Закирович,Зулпукаров,В командировке,Турция,21-22.01.2015г.,-
Бакыт Октябрович,Шаршеев,,,,Э.Иманалиевой
Бодош Аманбаевна,Мамырова,В командировке,Греция,21-22.01.2015г.,-
Асылбек Шарипович,Жээнбеков,По состоянию здоровья,,21-22.01.2015г.,-
Мамытбай Маткабылович,Салымбеков,,,,Ч.Турсунбекову
Омурбек Чиркешович,Текебаев,,,,У.Нуркулову
Жоомарт Рахатович,Сапарбаев,,,,Б.Калмаматову
Урмат Абдилашимовна,Аманбаева,,,,-
Жылдызкан Айтибаевна,Жолдошова,,,,-
Джаныш Камчыбекович,Кудайбергенов,,,,-
Ахматбек Келдибекович,Келдибеков,По уважительной причине,,21-22.01.2015г.,-
