firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo
Чыныбай Акунович,Турсунбеков,,,,-
Омурбек Чиркешович,Текебаев,,,,-
Анвар,Артыков,,,,-
Улукбек Тойчубаевич,Кочкоров,,,,-
Карамат Бабашевна,Орозова,На круглом столе,Жалал-Абадская   обл.,30.06.2014г.,-
Марат Абдыразакович,Султанов,По уважительным причинам,,30.06.2014г.,А.Арапбаеву
Нарынбек,Молдобаев,,,,-
Улан Сапарбекович,Чолпонбаев,,,,А.Арапбаеву
Элмурат Абдувапович,Обдунов,По состоянию здоровья,,30.06.2014г.,У.Аманбаевой
Малик Калылович,Осмонов,,,,А.Режавалиеву
Нариман Ташболотович,Тюлеев,По уважительным причинам,,30.06.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Асылбек Шарипович,Жээнбеков,В командировке,г.Страсбург,25.06.2014г.,-
Асия Айтбаевна,Сасыкбаева,,,,Т.Мадылбекову
Нургазы Абдыраевич,Айдаров,,,,-
Каныбек Капашович,Иманалиев,В командировке,Российская   Федерация,25.06.2014г.,-
Алла Николаевна,Измалкова,,,,-
Гульнара Оморовна,Жамгырчиева,,,,-
Абдыманап Орозбаевич,Кутушев,,,,-
,Бакир уулу Турсунбай,,,,-
Уланбек Калдарович,Нуркулов,,,,-
Курманбек Сапарович,Дыйканбаев,В командировке,Монголия,25-26.06.2014г.,М.Сабирову
Мирлан Исакбекович,Бакиров,,,,Т.Шайназарову
Бакыт Октябрович,Шаршеев,,,,-
Равшан Бабырбекович,Жээнбеков,В командировке,г.Вашингтон,25-26.06.2014г.,О.Абдрахманову
Малик Калылович,Осмонов,По состоянию здоровья,,25-26.06.2014г.,А.Режавалиеву
Нариман Ташболотович,Тюлеев,По уважительной причине,,25-26.06.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Айнуру Тойчиевна,Алтыбаева,На круглом столе,г.Ош,26.06.2014г.,-
Талантбек Макишович,Узакбаев,На заседании постоянной комиссии МПА,,26.06.2014г.,К.Рыспаеву
Каныбек Капашович,Иманалиев,В командировке,Российская   Федерация,26.06.2014г.,-
,Бакир уулу Турсунбай,,,,-
Бодош Аманбаевна,Мамырова,В командировке,Вашингтон,18-19.06.2014г.,-
Карамат Бабашевна,Орозова,,,,Ч.Турсунбекову
Максат Эсенович,Сабиров,,,,-
Жоомарт Рахатович,Сапарбаев,,,,-
Бахадыр Искакович,Сулейманов,,,,-
Карганбек Садыкович,Самаков,В командировке,Катара,18-19.06.2014г.,-
Алтынбек Турдубаевич,Сулайманов,По состоянию здоровья,,18-19.06.2014г.,-
Нурлан Надирович,Торобеков,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,18-19.06.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Эристина Азрет-Алиевна,Кочкарова,На диссертационном совете &nbsp;,,19.06.2014г.,-
Асылбек Шарипович,Жээнбеков,В командировке,г.Баку,11-12.06.2014г.,-
Курмантай Абдиевич,Абдиев,,,,А.Калмаматову
Курманбек Сапарович,Дыйканбаев,,,,М.Сабирову
Сайдулла Канболотович,Нышанов,,,,Б.Калмаматову
Ирина Юрьевна,Карамушкина,На семинаре,Иссык-Кульская   обл.,11-12.06.2014г.,А.Измалковой
Абдулатип Маматасанович,Режавалиев,В командировке,Жалал-Абадская   обл.,11-12.06.2014г.,Э.Джумалиевой
Нурбек Каарыевич,Алимбеков,В связи с семейными обстоятельствами,,11-12.06.2014г.,А.Эшимову
Надира Азимовна,Нарматова,,,,-
Алтынбек Турдубаевич ,Сулайманов,По состоянию здоровья,,11-12.06.2014г.,-
Мамытбай Маткабылович,Салымбеков,,,,Ч.Турсунбекову
Нурлан Надирович,Торобеков,,,,-
Данияр Омурзакович ,Тербишалиев,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,11-12.06.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Гуласал,Садырбаева,На семинаре,Иссык-Кульская   обл.,12.06.2014г.,-
Эсенгул Байдалиевич,Исаков,,,,Т.Узакбаеву
Токтогул Туманович,Туманов,В командировке,Италия,12.06.2014г.,-
Майрамкан Мамытовна,Кадырбекова,По уважительной причине,,12.06.2014г.,М.Абдылдаеву
Мамат,Орозбаев,В командировке,Ошская обл.,04.06.2014г.,Т.Туманову
Торобай Закирович,Зулпукаров,В командировке,Татарстан,04-05.06.2014г.,-
Жыргалбек Алимбекович,Саматов,,,,-
Кожобек Джайчыбекович,Рыспаев,По состоянию здоровья,,04-05.06.2014г.,Т.Узакбаеву
Нурлан Надирович,Торобеков,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,04-05.06.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Алла Николаевна,Измалкова,В командировке,Нарынская обл.,05.06.2014г.,И.Карамушкиной
Жылдызкан Айтибаевна,Джолдошова,В командировке,Ошская обл.,28.05.2014г.,М.Абдылдаеву
Гульнара Оморовна,Жамгырчиева,По состоянию здоровья,,28.05.2014г.,Ч.Турсунбекову
Дамира Абаскановна,Ниязалиева,В командировке,Иссык-Кульская   обл.,28.05.2014г.,-
Эсенгул Байдалиевич,Исаков,В командировке,г.Ош,28.05.2014г.,Т.Узакбаеву
Галина Анатольевна,Скрипкина,В командировке,Швейцария,28-29.05.2014г.,-
Кенжебек Сатымкулович,Бокоев,В командировке,Стамбул,28-29.05.2014г.,М.Сабирову
Чолпон Аалыевна,Султанбекова,В командировке,Иран,28-29.05.2014г.,-
Каныбек,Осмоналиев,В командировке,КНР,28-29.05.2014г.,-
Урмат Абдилашимовна,Аманбаева,На похоронах,,28-29.05.2014г.,М.Сабирову
Акылбек Шакирович,Султанов,По уважительной причине,,28-29.05.2014г.,З.Жоошбекову
Алтынбек Турдубаевич,Сулайманов,По состоянию здоровья,,28-29.05.2014г.,-
Жоомарт Рахатович,Сапарбаев,,,,Б.Калмаматову
Кожобек Джайчыбекович,Рыспаев,,,,Т.Узакбаевге
Нариман Ташболотович,Тюлеев,По уважительной причине,,28-29.05.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Майрамкул Бекчороевна,Тиленчиева,В командировке,Нарынская обл.,29.05.2014г.,М.Расулову
Уланбек Калдарович,Нуркулов,В командировке,Жалал-Абадская   обл.,29.05.2014г.,О.Текебаеву
Шаршенбек Шайлообекович,Абдыкеримов,В командировке &nbsp;,,29.05.2014г.,А.Баатырбекову
Карамат Бабашевна,Орозова,В командировке &nbsp;,Баткенская обл.,29.05.2014г.,Э.Сакебаеву
Роза Корчубековна,Акназарова,В командировке,Швейцария,21.05.2014г.,-
Айнуру Тойчиевна,Алтыбаева,В командировке,г.С-Петербург,21.05.2014г.,-
Нургазы Абдыраевич,Айдаров,По уважительной причине,,21.05.2014г.,Д.Джумабекову
Азамат Абдуллажанович,Арапбаев,В командировке,КНР,21.05.2014г.,-
Алмазбек Баатырбекович,Баатырбеков,,,,-
Бакытбек Дженишбекович,Джетигенов,,,,-
Асия Айтбаевна,Сасыкбаева,,,,Н.Никитенко
Сайдулла Канболотович,Нышанов,,,,А.Маматову
Каныбек ,Осмоналиев,В командировке,г.С-Петербург,21-22.05.2014г.,Б.Маматову
Надира Азимовна,Нарматова,В командировке,г.С-Петербург,21-22.05.2014г.,-
Нурбек Мурпазылжанович,Мурашев,,,,-
Олег Леонидович,Домшенко,,,,-
Курманбек Эргешович,Осмонов,,,,-
Нурбек Каарыевич,Алимбеков,,,,-
Омурбек,Абдырахманов,В командировке,США,21-22.05.2014г.,-
Максат Эсенович,Сабиров,На похоронах,,21-22.05.2014г.,У.Аманбаевой
Гульнара Оморовна,Жамгырчиева,По состоянию здоровья,,21-22.05.2014г.,Ч.Турсунбекову
Алтынбек Турдубаевич,Сулайманов,,,,-
Роман,Шин,,,,Н.Молдобаеву
Акылбек Жусупович,Эшимов,,,,-
Дамира Абаскановна,Ниязалиева,В командировке,г.Астана,21-22.05.2014г.,-
Алишер Орозбаевич,Абдрахманов,В командировке,Баткенская обл.,21-22.05.2014г.,А.Бекматову
Майрамкан Мамытовна,Кадырбекова,На встрече с избирателями &nbsp;,,21-22.05.2014г.,-
Мамытбай Мааткабылович,Салымбеков,В командировке,Нарынская обл.,21-22.05.2014г.,Ч.Турсунбекову
Замирбек Маданбекович,Алымбеков,По уважительной причине,,21-22.05.2014г.,К.Орозовой
Нариман Ташболотович,Тюлеев,По уважительной причине,,21-22.05.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Айнуру Тойчиевна,Алтыбаева,В командировке,г.Астана,22.05.2014г.,-
Абдимиталип Калдарбаевич,Кочкорбаев,В связи с семейными обстоятельствами,,22.05.2014г.,Н.Айдарову
Асылбек Шарипович,Жээнбеков,В командировке,КНР,07.05.2014г.,-
Элмира Бусурманкуловна,Джумалиева,,,,-
Заирбек Сулайманович,Жоошбеков,,,,-
Татьяна Владимировна,Левина,,,,-
Абдимуктар,Маматов,,,,-
Бахадыр Искакович,Сулейманов,,,,-
Марат Абдыразакович,Султанов,,,,-
Тынчтыкбек Урайимович,Шайназаров,,,,-
Курманбек Сапарович,Дыйканбаев,В Саудовской Аравии,в паломничестве,07-08.05.2014ж.,-
Максат Эсенович,Сабиров,,,,К.Бокоеву
Надира Азимовна,Нарматова,,,,-
Эсенгул Байдалиевич,Исаков,В командировке,Чуйская обл.,07-08.05.2014г.,Т.Узакбаеву
Алишер Орозбаевич,Абдрахманов,В командировке,,07-08.05.2014г.,А.Бекматову
Равшан Бабырбекович,Жээнбеков,В командировке,Германия,07-08.05.2014г.,-
Жоомарт Рахатович,Сапарбаев,В командировке,Нарынская обл.,07-08.05.2014г.,Б.Калмаматову
Омурбек Чиркешович,Текебаев,В командировке,Турция,07-08.05.2014г.,-
Малик Калылович,Осмонов,По состоянию здоровья,,07-08.05.2014г.,А.Эшимову
Нариман Ташболотович,Тюлеев,По уважительной причине,,07-08.05.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Нурлан Надирович,Торобеков,В командировке,Чуйская обл.,08.05.2014г.,-
Талантбек Макишович,Узакбаев,В командировке &nbsp;,Иссык-Кульская обл.,08.05.2014г.,-
Каныбек Капашович,Иманалиев,В командировке,г. С-Петербург,08.05.2014г.,-
Майрамкан Мамытовна,Кадырбекова,,,,-
Гульнара Оморовна,Жамгырчиева,,,,-
Эркингуль Бекбачаевна,Иманкожоева,,,,-
Майрамкуль Бекчороевна,Тиленчиева,,,,М.Расулову
Талантбек Макишович,Узакбаев,В командировке,Нарынская обл.,30.04.2014г.,Э.Исакову
Наталья Владимировна,Никитенко,По состоянию здоровья,,30.04.2014г.,А.Сасыкбаевой
Нариман Ташболотович,Тюлеев,По уважительной причине,,30.04.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Чолпон Аалыевна,Султанбекова,В командировке,Баткенская обл.,23.04.2014г.,-
Кантемир Зулумович,Мурзабеков,На похоронах,,23.04.2014г.,Д.Джумабекову
Дамира Абаскановна,Ниязалиева,В командировке,Швеция,23-24.04.2014г.,-
Жусупали Калматович,Исаев,На выездном   заседании комитета&nbsp;,,23-24.04.2014г.,З.Жоошбекову
Нурлан Надирович,Торобеков,В командировке,г.Астана,23-24.04.2014г.,-
Абдыжапар Гапырович,Бекматов,В командировке&nbsp;,,23-24.04.2014г.,А.Абдрахманову
Наталья Владимировна,Никитенко,По состоянию здоровья,,23-24.04.2014г.,А.Сасыкбаевой
Нариман Ташболотович,Тюлеев,По уважительной причине,,23-24.04.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Чолпон Аалыевна,Султанбекова,По состоянию здоровья,,24.04.2014г.,-
Гуласал,Садырбаева,В командировке,Жалал-Абадская   обл.,24.04.2014г.,-
Эркин Абдышевич,Сакебаев,По уважительной причине,,16.04.2014г.,К.Орозовой
Мамат,Орозбаев,По состоянию здоровья,,16.04.2014г.,Ч.Турсунбекову
Асылбек Шарипович,Жээнбеков,В командировке,г.С-Петербург,16-17.04.2014г.,Ч.Турсунбекову
Галина Анатольевна,Скрипкина,,,,-
Кенжебек Сатымкулович,Бокоев,,,,Р.Акназаровой
Эристина Азрет-Алиевна,Кочкарова,,,,Ф.Кулову
Алмазбек Баатырбекович,Баатырбеков,,,,-
Мирлан Исакбекович,Бакиров,,,,Т.Шайназарову
Омурбек Чиркешович,Текебаев,,,,-
Абдимуталип Калдарбаевич,Кочкорбаев,,,,У.Кочкорову
Наталья Владимировна,Никитенко,,,,-
Нуркамил Апишевич,Мадалиев,,,,Бакир уулу Т.
Максат Эсенович,Сабиров,,,,У.Аманбаевой
Дастан Далабайевич,Бекешев,,,,-
Хаджимурат Зулкарнаевич,Коркмазов,,,,-
Талантбек Макишович,Узакбаев,В командировке,Турция,16-17.04.2014г.,Э.Исакову
Кантемир Зулумович,Мурзабеков,На встрече с избирателями,,16-17.04.2014г.,Д.Джумабекову
Нариман Ташболотович,Тюлеев,По уважительной причине,,16-17.04.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Мамат,Орозбаев,В командировке,г.Ош,17.04.2014г.,Ч.Турсунбекову
Роза Корчубековна,Акназарова,В   командировке,Дания,09.04.2014г.,Н.Арипову
Элмира Сансызбаевна,Иманалиева,В   командировке,Румыния,09.04.2014г.,-
Дамира Абаскановна,Ниязалиева,В   командировке,США,09-10.04.2014г.,-
Ирина Юрьевна,Карамушкина,,,,А.Измалковой
Асия Айтбаевна,Сасыкбаева,В   командировке,Франция,09-10.04.2014г.,-
Азамат Абдуллажанович,Арапбаев,,,,-
Бахтияр Сабиржанович,Кадыров,,,,-
Айнуру Тойчиевна,Алтыбаева,В   командировке,Чили,09-10.04.2014г.,-
Улукбек Тойчиевич,Кочкоров,,,,-
Акылбек Шакирович,Султанов,По   состоянию здоровья,,09-10.04.2014г.,Т.Зулпукарову
Жоомарт Рахатович,Сапарбаев,,,,Б.Калмаматову
Абдимиталип Калдарбаевич,Кочкорбаев,,,,-
Тынчтык Урайимович,Шайназаров,,,,-
Урмат Абдилашимовна,Аманбаева,,,,-
Замирбек Маданбекович,Алымбеков,,,,Г.Жамгырчиевой
Элмурат Абдувапович,Обдунов,,,,А.Бекматову
Нариман Ташболотович,Тюлеев,По   уважительной причине,,09-10.04.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Роман,Шин,По   состоянию здоровья,,02.04.2014г.,Х.Коркмазову
Элмурат Абдувапович,Обдунов,По   состоянию здоровья,,02-03.04.2014г.,А.Эшимову
Курманбек Эргешович,Осмонов,,,,М.Абдылдаеву
Нариман Ташболотович,Тюлеев,По   уважительной причине,,02-03.04.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Абдимиталип Калдарбаевич,Кочкорбаев,По   уважительной причине,,02-03.04.2014г.,О.Бакирову
Талантбек Макишович,Узакбаев,По   состоянию здоровья,,03.04.2014г.,Э.Исакову
Замир Исакович,Бекбоев,В   командировке,,03.04.2014г.,И.Гусарову
Мамат,Орозбаев,В командировке,г.Ош,26-27.03.2014г.,Ч.Турсунбекову
Майрамкан Мамытовна,Кадырбекова,На встрече с избирателями &nbsp;,,26-27.03.2014г.,-
Курманбек Эргешович,Осмонов,По состоянию здоровья,,26-27.03.2014г.,М.Абдылдаеву
Нариман Ташболотович,Тюлеев,По уважительной причине,,26-27.03.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Мирлан Исакбекович,Бакиров,В командировке,,12.03.2014г.,Т.Шайназарову
Каныбек Капашович ,Иманалиев,В командировке,г.С-Петербург,12-13.03.2014г.,-
Мамат,Орозбаев,В командировке,г.Ош,12-13.03.2014г.,Ч.Турсунбекову
Дастан Далабайевич,Бекешев,В командировке,г.Москва,12-13.03.2014г.,-
Максат Эсенович,Сабиров,В командировке,г.Баку,12-13.03.2014г.,К.Бокоеву
Нариман Ташболотович,Тюлеев,По уважительной причине,,12-13.03.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Майрамкул Бекчороевна,Тиленчиева,В командировке,Нарынская обл.,13.03.2014г.,Н.Мадалиеву
Татьяна Владимировна,Левина,В командировке,Чуйская обл.,13.03.2014г.,-
Надира Азимовна,Нарматова,В связи с семейными обстоятельствами,,13.03.2014г.,-
Омурбек Чиркешович,Текебаев,Иш сапарында,Ош ш.,13.03.2014г.,-
Мамат,Орозбаев,В командировке,г.Ош,05.03.2014г.,Ч.Турсунбекову
Эсенгул Байдалиевич,Исаков,В командировке,Таласская обл.,05.03.2014г.,Т.Узакбаеву
Каныбек,Осмоналиев,По состоянию здоровья,,05.03.2014г.,-
Абдулатип Маматасанович,Режавалиев,По состоянию здоровья,,05-06.03.2014г.,-
Хаджимурат Зулкарнаевич,Коркмазов,,,,Р.Шину
Нарынбек,Молдобаев,,,,Р.Шину
Кантемир Зулумович,Мурзабеков,,,,Д.Джумабекову
Нариман Ташболотович,Тюлеев,По уважительной причине,,05-06.03.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Галина Анатольевна ,Скрипкина,В командировке,г.Москва,06.03.2014г.,-
Динара Шертаевна,Исаева,По состоянию здоровья,,06.03.2014г.,Н.Нарматовой
Нурбек Каарыевич,Алимбеков,По состоянию здоровья,,19.02.2014г.,-
Омурбек Чиркешович,Текебаев,В командировке,,19.02.2014г.,-
Нурлан Надирович,Торобеков,На похоронах,,19.02.2014г.,-
Майрамкул Бекчороевна,Тиленчиева,В командировке,Жалал-Абадская   обл.,19.02.2014г.,К.Иманалиеву
Торобай Закирович,Зулпукаров,В командировке,г.Тегеран,19-20.02.2014г.,-
Курманбек Сапарович,Дыйканбаев,,,,-
Эркин Абдышевич,Сакебаев,В командировке,США,19-20.02.2014г.,-
Нуржана Нуралиевна,Бадыкеева,,,,-
Сайдулла Канболотович,Нышанов,,,,-
Шаршенбек Шайлообекович,Абдыкеримов,В командировке,г.Москва,19-20.02.2014г.,К.Исаеву
Данияр Омурзакович,Тербишалиев,По состоянию здоровья,,19-20.02.2014г.,-
Надира Азимовна,Нарматова,,,,-
Гульнара Оморовна,Жамгырчиева,,,,Ч.Турсунбекову
Мамытбай Маткабылович,Салымбеков,,,,Ч.Турсунбекову
Курмантай,Абдиев,,,,-
Уланбек Калдарович,Нуркулов,На похоронах,,19-20.02.2014г.,-
Роман,Шин,По уважительной причине,,19-20.02.2014г,Х.Коркмазову
Нариман Ташболотович,Тюлеев,По уважительной причине,,19-20.02.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Абдырахман Мадакимович,Маматалиев,В командировке,г.Баку,12.02.2014г.,-
Кенжебек Сатымкулович,Бокоев,В командировке,Иссык-Кульская обл.,12.02.2014г.,Н.Арипову
Нургазы Абдыраевич,Айдаров,В командировке,США,12-13.02.2014г.,О.Бакирову
Карганбек Садыкович,Самаков,В командировке,Франция,12-13.02.2014г.,-
Абдыжапар Гапырович,Бекматов,В командировке,г.Москва,12-13.02.2014г.,Н.Арипову
Роза Корчубековна,Акназарова,В командировке,г.Вена,12-13.02.2014г.,Ч.Султанбековой
Эркингуль Бекбачаевна,Иманкожоева,В командировке,Германия,12-13.02.2014г.,-
Омурбек Чиркешович,Текебаев,В командировке,,12-13.02.2014г.,-
Данияр Омурзакович,Тербишалиев,В связи с семейными обстоятельствами,,12-13.02.2014г.,А.Кутушеву
Нариман Ташболотович,Тюлеев,По уважительной причине,,12-13.02.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Шаршенбек Шайлообекович,Абдыкеримов,По состоянию здоровья,,13.02.2014г.,А.Баатырбекову
Нурлан Надирович,Торобеков,,,,-
Урмат Абдилашимовна,Аманбаева,,,,-
Гульнара Оморовна,Жамгырчиева,,,,А.Жээнбекову
Талантбек Макишович,Узакбаев,В связи с семейными обстоятельствами,,05.02.2014г.,Э.Исакову
Нургазы Абдыраевич,Айдаров,В командировке,США,05-06.02.2014г.,-
Шаршенбек Шайлообекович,Абдыкеримов,В командировке,г.Москва,05-06.02.2014г.,А.Баатырбекову
Карганбек Садыкович,Самаков,В командировке,г.Алматы,05-06.02.2014г.,-
Данияр Омурзакович,Тербишалиев,В связи с семейными обстоятельствами,,05-06.02.2014г.,А.Кутушеву
Джаныш Камчыбекович,Кудайбергенов,По состоянию здоровья,,05-06.02.2014г.,&nbsp;
Нариман Ташболотович,Тюлеев,По уважительной причине,,05.02.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Эльмурат Абдувапович,Обдунов,По состоянию здоровья,,06.02.2014г.,-
Нурлан Надирович,Торобеков,На конференции,,06.02.2014г.,-
Майрамкүл Бекчороевна,Тиленчиева,На похоронах,,29.01.2014г.,Ф.Кулову
Чолпон Аалыевна,Султанбекова,По состоянию здоровья,,29.01.2014г.,-
Бахадыр Искакович,Сулейманов,В командировке,г.Страсбург,29-30.01.2014г.,-
Асия Айтбаевна,Сасыкбаева,,,,-
Талантбек Макишевич,Узакбаев,На похоронах,,29-30.01.2014г.,-
Мамат,Орозбаев,По состоянию здоровья,,29-30.01.2014г.,Ч.Турсунбекову
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,29-30.01.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Нургазы Абдыраевич,Айдаров,В командировке,США,30.01.2014г.,-
Мирлан Исакбекович,Бакиров,В командировке,Кочкорский р-н,22.01.2014г.,А.Режавалиеву
Абдимуталип Калдарбаевич,Кочкорбаев,В командировке,Ошская обл.,22-23.01.2014г.,-
Мамат,Орозбаев,По состоянию здоровья,,22-23.01.2014г.,Ч.Турсунбекову
Надира Азимовна,Нарматова,,,,-
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,22-23.01.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Торобай Закирович,Зулпукаров,В командировке,Ошская обл.,15.01.2014г.,-
Заирбек Сулайманович,Жоошбеков,В командировке,Ошская обл.,15.01.2014г.,Ж.Исаеву
Мамат,Орозбаев,В командировке,г.Ош,15-16.01.2014г.,Ч.Турсунбекову
Марат Абдыразакович,Султанов,В связи с семейными обстоятельствами,,15-16.01.2014г.,-
Майрамкул Бекчороевна,Тиленчиева,По состоянию здоровья,,15-16.01.2014г.,Н.Мадалиеву
Надира Азимовна,Нарматова,,,,-
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,15-16.01.2014г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Кенжебек Сатымкулович,Бокоев,На похоронах,,16.01.2014г.,М.Сабирову
Төрөбай Закирович,Зулпукаров,По состоянию здоровья,,25.12.2013г.,-
Нурлан Надирович,Төрөбеков,,,,К.Рыспаеву
Каныбек,Осмоналиев,В командировке,Ошская обл.,25-26.12.2013г.,А.Калматову
Карганбек Садыкович,Самаков,В командировке,,25-26.12.2013г.,-
Гуласал,Садырбаева,В командировке,Жалал-Абадская обл.,25-26.12.2013г.,-
Акылбек Жусупович,Эшимов,По состоянию здоровья,,25-26.12.2013г.,Н.Алимбекову
Заирбек Сулайманович,Жоошбеков,,,,Ж.Исаеву
Урмат Абдилашимовна,Аманбаева,,,,М.Сабирову
Кенжебек Сатымкулович,Бокоев,,,,М.Сабирову
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,25-26.12.2013г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Нурбек Каарыевич,Алимбеков,В командировке,г.Измир,26.12.2013г.,-
Замир Исакович,Бекбоев,,,,М.Тиленчиевой
Бакыт Октябрович,Шаршеев,,,,-
Данияр Омурзакович,Тербишалиев,,,,-
Кантемир Зулумович,Мурзабеков,,,,-
Мирлан Исакбекович,Бакиров,,,,-
Нуркамил Апишевич,Мадалиев,,,,-
Нурбек Мурпазылжанович,Мурашев,,,,-
Каныбек Капашович,Иманалиев,В командировке,КНР,18.12.2013г.,-
Жоомарт Рахатович,Сапарбаев,,,,Б.Калмаматову
Турсунбай,Бакир уулу,,,,-
Гульнара Оморовна,Жамгырчиева,,,,-
Майрамкан Мамытовна,Кадырбекова,,,,-
Максат Эсенович,Сабиров,,,,-
Бахадыр Искакович,Сулейманов,,,,-
Нуркамил Апишевич,Мадалиев,В командировке,г.Баку,18.12.2013г.,-
Дастан Далабайевич,Бекешев,На выездном заседании комитета,Иссык-Кульская обл.,18.12.2013г.,Б.Маматову
Ирина Юрьевна,Карамушкина,В командировке,г.Анкара,18-19.12.2013г.,Ж.Исаеву
Абдыманап Орозбаевич,Кутушев,,,,М.Мадеминову
Тынчтык Урайимович,Шайназаров,В командировке,Ошская обл.,18-19.12.2013г.,-
Бакыт Эргешович,Торобаев,В командировке,г.Жалал-Абад,18-19.12.2013г.,-
Карганбек Садыкович,Самаков,На выездном заседании комитета,Иссык-Кульская обл.,18-19.12.2013г.,-
Замир Исакович,Бекбоев,,,,И.Гусарову
Эльмира Бусурманкуловна,Джумалиева,,,,-
Алла Николаевна,Измалкова,,,,-
Мирлан Исакбекович,Бакиров,,,,-
Эркингуль Бекбачаевна,Иманкожоева,,,,Ч.Турсунбекову
Майрамкул Бекчороевна,Тиленчиева,,,,Э.Исакову
Кубанычбек Туманович,Туманов,По состоянию здоровья,,18-19.12.2013г.,-
Бодош Аманбаевна,Мамырова,,,,-
Чолпон Аалыевна,Султанбекова,,,,-
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,18-19.12.2013г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Карамат Бабашевна,Орозова,В командировке,Баткенская обл.,19.12.2013г.,Э.Сакебаеву
Мамат,Орозбаев,В командировке,г.Ош,11.12.2013г.,Т.Зулпукарову
Абдулатип Маматасанович,Режавалиев,В командировке,Жалал-Абадская обл.,11-12.12.2013г.,-
Токтогул Туманович,Туманов,В командировке,Пакистан,11-12.12.2013г.,-
Бакыт Эргешович,Торобаев,В командировке,г.Жалал-Абад,11-12.12.2013г.,-
Нурлан Надирович,Торобеков,По состоянию здоровья,,11-12.12.2013г.,-
Бодош Аманбаевна,Мамырова,,,,-
Нурлан Чолпонбаевич,Сулайманов,,,,-
Нариман Ташболотович,Тюлеев,По уважительной причине,,11-12.12.2013г.,-
Ахматбек Келдибекович,Келдибеков,,,,-
Каныбек Капашович,Иманалиев,В командировке,КНР,12.12.2013г.,М.Тиленчиевой
Жоомарт Рахатович,Сапарбаев,,,,Б.Калмаматову
Турсунбай,Бакир уулу,,,,-
Гульнара Оморовна,Жамгырчиева,,,,-
Майрамкан Мамытовна,Кадырбекова,,,,-
Максат Эсенович,Сабиров,,,,У.Аманбаевой
Бахадыр Искакович,Сулейманов,,,,-
Ирина Юрьевна,Карамушкина,В командировке,г.Стамбул,12.12.2013г.,Ж.Исаеву
Алла Николаевна,Измалкова,,,,Э.Иманкожоевой
Роза Корчубековна,Акназарова,,,,-
Омурбек Чиркешович,Текебаев,,,,-
Асия Айтбаевна,Сасыкбаева,,,,Т.Мадылбекову
Наталья Владимировна,Никитенко,,,,Т.Балтабаеву
Марат Абдыразакович,Султанов,В связи с семейными обстоятельствами,,12.12.2013г.,-
Тынчтык Урайимович,Шайназаров,В командировке,Ошская обл.,12.12.2013г.,-
Омурбек Чиркешович,Текебаев,В командировке,г.Ош,04.12.2013г.,-
Ыргал Кармышаковна,Кадыралиева,В командировке,г.Санкт-Петербург,04-05.12.2013г.,Ч.Турсунбекову
Карганбек Садыкович,Самаков,В командировке,г.Баку,04-05.12.2013г.,-
Жусупали Калматович,Исаев,В командировке,г.Дубай,04-05.12.2013г.,З.Жоошбекову
Карамат Бабашевна,Орозова,По состоянию здоровья,,04-05.12.2013г.,З.Алымбекову
Замир Исакович,Бекбоев,,,,М.Тиленчиевой
