firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo,source
"Токтогул Туманович","Туманов","В командировке","Латвия","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Замирбек Маданбекович","Алымбеков","В командировке","Латвия","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Абдыманап Орозбаевич","Кутушев","В командировке","Латвия","27-28.05.2015г.","Н.Касымбекову","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Эристина Азрет-Алиевна","Кочкарова","В командировке","Латвия","27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Мурадыл Ганыевич","Мадеминов","В командировке","Латвия","27-28.05.2015г.","Ж.Исаеву","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Ахматбек Келдибекович","Келдибеков","По уважительной причине",,"27-28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Абдимуктар","Маматов","По уважительной причине",,"28.05.2015г.","-","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Азиз Эмильбекович","Суракматов","По уважительной причине","","28.05.2015г.","А.Арапбаеву","http://kenesh.kg/RU/Articles/30180-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2728_maya_2015_goda.aspx"
"Данияр Омурзакович","Тербишалиев","По состоянию здоровья",,"20.05.2015г.","-","http://kenesh.kg/RU/Articles/30068-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2021maya_2015_goda.aspx"
"Элмурат Абдувапович","Обдунов","По состоянию здоровья",,"20-21.05.2015г.","-","http://kenesh.kg/RU/Articles/30068-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_2021maya_2015_goda.aspx"
